Pos,StartNr,Naam,Club,City,PosCat,Cat,Swim,PosSwim,T1,PosT1,PosAfterT1,Bike,PosBike,AfterBike,PosAfterBike,T2,PosT2,PosAfterT2,Run,PosRun,Run1,PosRun1,Run2,PosRun2,TeamPoints,TeamTotalPoints,TeamRank,Difference,Total,RaceDate,Race
36,133,Wouter Visch,Triteam Groningen 3,,,D2M,0:27:57,69,0:00:38,20,,1:03:55,21,1:32:29,42,0:00:29,1,,0:41:11,36,,,,,,,,0:13:30,2:14:08,2017-06-28,20170624_Zeewolde_OD_2D_m.csv
42,135,Symen de Jong,Triteam Groningen 3,,,D2M,0:22:59,12,0:00:32,5,,1:07:32,53,1:31:02,31,0:00:31,3,,0:43:50,61,,,,,,,,0:14:44,2:15:22,2017-06-28,20170624_Zeewolde_OD_2D_m.csv
44,136,Ben Kloosterboer,Triteam Groningen 3,,,D2M,0:25:04,32,0:00:36,9,,1:06:03,44,1:31:42,37,0:00:54,55,,0:43:17,58,,,,,,,,0:15:13,2:15:51,2017-06-28,20170624_Zeewolde_OD_2D_m.csv
78,134,Gert Jan van den Berg,Triteam Groningen 3,,,D2M,0:26:16,50,0:00:44,41,,1:09:46,67,1:36:45,65,0:01:14,71,,0:56:36,77,,,,,,,,0:33:56,2:34:34,2017-06-28,20170624_Zeewolde_OD_2D_m.csv
