Plts,StNr,Team,Deelnemer 1,Deelnemer 2,Deelnemer 3,Tijd,race,date
1,205,Team Black Beauty,Marion  Kluijtmans,Joes  Vermeer,,01:28:20,Ride & Run ,2017-10-28
2,202,Your Workout team II,Veronica van den Heuvel,Joey  Vermeulen,,01:36:13,Ride & Run ,2017-10-28
3,201,Your Workout,Bart  Hoogkamer,Edna  Vermeulen,,02:07:56,Ride & Run ,2017-10-28
4,204,DynamicRideRun,Cimmy-Lou  Lapre,Caballo  Lapre,,02:13:00,Ride & Run ,2017-10-28
5,203,Topshine Trail Trio,Ilse  Rutjes-Busser,Tineke  Delmaar,,02:29:55,Ride & Run ,2017-10-28
